id,title,overview,adult,poster_path,backdrop_path,release_date
1026821,大雨,"Poverty-stricken Daguzi encounters a child - Mantou - floating downstream at the river bank, he decides to take him by his side as his son, with compassion and affection.",False,https://image.tmdb.org/t/p/w300//rIwxNjhl0ndF0V5zrYGdwplAJAU.jpg,https://image.tmdb.org/t/p/w300//qWRTIqDzxyOC6ndumxOngDMAHxl.jpg,2024-01-12 00:00:00
1033462,749局,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.,False,https://image.tmdb.org/t/p/w300//flykCMw22y6yv8vKnBjmsW3pneo.jpg,https://image.tmdb.org/t/p/w300//lf8IZ86ajGpgbuyHCZrXUeAMmvy.jpg,2024-10-01 00:00:00
1038392,The Conjuring: Last Rites,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,False,https://image.tmdb.org/t/p/w300//byWgphT74ClOVa8EOGzYDkl8DVL.jpg,https://image.tmdb.org/t/p/w300//tcBX2dtkNozZ0uDLVaxXrE6rqyN.jpg,2025-09-03 00:00:00
1054867,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",False,https://image.tmdb.org/t/p/w300//m1jFoahEbeQXtx4zArT2FKdbNIj.jpg,https://image.tmdb.org/t/p/w300//zpEWFNqoN8Qg1SzMMHmaGyOBTdW.jpg,2025-09-23 00:00:00
1061474,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",False,https://image.tmdb.org/t/p/w300//ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg,https://image.tmdb.org/t/p/w300//eU7IfdWq8KQy0oNd4kKXS0QUR08.jpg,2025-07-09 00:00:00
1062722,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",False,https://image.tmdb.org/t/p/w300//g4JtvGlQO7DByTI6frUobqvSL3R.jpg,https://image.tmdb.org/t/p/w300//hpXBJxLD2SEf8l2CspmSeiHrBKX.jpg,2025-10-17 00:00:00
1083637,ಕಾಂತಾರ: ಅಧ್ಯಾಯ - ೧,"During the Kadamba reign, King Vijayendra, the ruler of the fictional feudatory land of Bangra, meets his final fate while venturing into the mystical forest of Kantara. Witnessing this, his son Rajashekara seals the borders of their realm. Later, Prince Kulashekara reopens them through a brutal massacre. The protagonist, Berme, in search of prosperity, crosses the divide and ignites a conflict of faith, power, and destiny between the Kingdom and Nature.",False,https://image.tmdb.org/t/p/w300//zBvw25afDn93embB8L7FzvTT2xq.jpg,https://image.tmdb.org/t/p/w300//1hDUJFAYkLJUCoiXzDi2cLmFh4m.jpg,2025-10-01 00:00:00
1084222,Operation Blood Hunt,"Prolific expert of the occult and whiskey, Reverend Conte, accompanies a ragtag group of military rejects to a remote South Pacific Island to investigate the disappearance of Marines units  stationed there in 1944, said to be at the hands of the Japanese Imperial Army. Upon speaking  with the island’s inhabitants, they soon discover the Marines had actually been massacred by a group of Lycanthropes, known to most as WEREWOLVES.",False,https://image.tmdb.org/t/p/w300//wYf4Eq3c4iOa856tEwh3GHruHZW.jpg,https://image.tmdb.org/t/p/w300//sUoPlzchsCECqpm3ZmDPeL8QKDK.jpg,2024-12-12 00:00:00
1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De’Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",False,https://image.tmdb.org/t/p/w300//oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,https://image.tmdb.org/t/p/w300//5h2EsPKNDdB3MAtOk9MB9Ycg9Rz.jpg,2025-11-26 00:00:00
1116465,传说,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.,False,https://image.tmdb.org/t/p/w300//qbImUt1d3itXcB81BCItPZlfbyr.jpg,https://image.tmdb.org/t/p/w300//7FDVhmCur4LMOfnXMteiSCtsdOb.jpg,2024-07-05 00:00:00
